1,1,1,1
1,1,1,1
411970,291749,20100,66
1,1,1,1
3494968,4022565,107720,180197
1,1,1,1
499146,545987,8163,30212
84413,105357,653,537
1637667,1015330,0,422
1,1,1,1
245386,52071,0,8953
1,1,1,1
1,1,1,1
828400,978301,0,10586
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
279819,179882,0,14
707356,407334,0,0
1247084,784602,18878,205
1728793,1223288,19131,23122
840401,949207,5870,9197
414099,230927,0,0
758629,784876,0,16
174861,133789,12412,0
363350,155760,0,26537
114720,120377,0,0
1,1,1,1
1117549,1047626,9934,18836
217682,187128,0,0
3089871,1415749,0,462109
1,1,1,1
164873,89304,0,8288
1923767,1396790,36103,38803
1,1,1,1
1,1,1,1
1412965,2136418,19244,35481
167283,175495,0,0
1,1,1,1
1,1,1,1
780113,479642,0,30
1818223,1256759,23494,4691
219482,309332,1035,953
79340,84449,892,3321
690839,724571,0,212
943655,332273,0,92548
387170,173910,0,4234
983311,527355,7947,26270
72466,94725,0,0
NEW YEAR
860535,498508,12191,0
58804,146919,0,715
1,1,1,1
502341,373615,0,0
1,1,1,1
449327,833821,11077,3584
1,1,1,1
147831,98101,0,0
1,1,1,1
1344104,337196,0,44
1,1,1,1
105591,293193,7384,0
2397165,2308039,59777,22354
1,1,1,1
716883,564381,0,11436
211664,757402,6755,20908
639721,644990,0,7696
1,0,0,0
142626,404414,0,4366
1,1,1,1
1393150,1136913,0,408
1915831,1745302,7786,32019
852844,1199926,4653,8720
371926,580314,0,0
1,1,1,1
215704,154308,9143,0
332217,307147,0,304
1,1,1,1
157447,225828,1094,0
1986644,1080100,7135,22577
141253,361371,0,10
1,1,1,1
1070488,1156768,9302,2493
1,1,1,1
1,1,1,1
906131,280638,11168,0
406122,808152,0,461
1,1,1,1
285811,107545,0,0
306982,644815,13333,0
80537,235176,0,0
1000607,557016,0,90413
2202557,3111348,0,273
1,1,1,1
1,1,1,1
601142,1406194,0,151
1,1,1,1
374233,344680,0,3299
1,1,1,1
40525,146373,0,0
NEW YEAR
609360,602537,0,0
79727,97674,3161,239
340965,521850,0,106
433122,262313,0,52
3646672,3541804,66261,143725
529449,512994,0,18322
632695,340438,0,3800
1,1,1,1
1877543,1552376,0,77
623707,601241,0,60
241887,86910,0,0
185066,196958,0,0
2033783,1053734,13891,21475
595192,936143,8314,5914
299406,588880,0,3476
246664,576902,0,0
503775,173330,0,175
723586,646311,0,0
1,1,1,1
675225,437411,0,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
699624,777612,0,91
1,1,1,1
1,1,1,1
130955,116606,4899,9472
79222,154090,0,11423
1,1,1,1
1,1,1,1
1723216,2030260,0,731383
780967,753881,0,0
143932,141812,0,3269
1949208,1171893,0,88
400230,493436,0,0
375735,656317,0,10503
1448219,1906537,0,23470
1,1,1,1
465500,262886,4789,4787
152657,143173,0,0
1,1,1,1
1,1,1,1
115523,314608,3023,1957
124123,67798,0,4611
1,1,1,1
677471,650931,0,8965
1,1,1,1
702963,754573,0,25638
1,1,1,1
NEW YEAR
1,1,1,1
1,1,1,1
660403,478060,20849,5227
1,1,1,1
4287253,5143409,79997,232939
1,1,1,1
688499,678454,12409,4164
92378,151115,0,0
2016553,2051071,0,585
1,1,1,1
247941,66987,8948,0
1,1,1,1
1,1,1,1
668778,1430525,0,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
452581,104164,0,0
999166,617537,0,362
1693344,884267,13199,15415
2116865,1348219,27116,13785
856694,1176210,4039,57010
436339,510380,0,0
660045,1407416,11410,4
175809,189445,0,0
378717,278250,0,10893
175548,161336,5523,0
1,1,1,1
1599905,1349937,12354,25438
321983,186579,0,36
3907178,1686558,12064,435180
1,1,1,1
171899,112937,4334,0
2480038,1872716,0,151
1,1,1,1
1,1,1,1
1416764,2901715,11822,36297
180717,217273,0,0
1,1,1,1
1,1,1,1
1020061,541033,0,6087
3149806,2129228,43989,583
203364,430089,0,7249
71460,163183,0,5465
1474086,593652,0,1159
904183,944359,0,0
410983,223564,0,0
1128625,1030440,0,9125
89821,91143,0,0
NEW YEAR
717814,467190,0,150
61152,125806,0,2999
1,1,1,1
493910,0,0,825
1,1,1,1
425746,569048,0,27233
1,1,1,1
112918,64554,2680,5
1,1,1,1
1033439,0,0,0
188901,155978,4787,0
122295,193641,0,0
2115377,1135628,0,0
696639,806048,0,0
535975,446869,0,1089
207491,578605,0,139
437976,478034,0,0
1,0,0,0
201053,319167,0,100
1,1,1,1
1321712,992917,0,109950
1471753,1055695,0,33046
911999,864375,0,31671
0,274244,0,0
1,1,1,1
217563,93836,7937,0
349779,243013,0,1036
1,1,1,1
91299,189792,9717,585
977810,918874,13988,27782
110033,296712,0,193
1,1,1,1
981573,1087331,0,681
1,1,1,1
1,1,1,1
735684,148814,0,0
507743,590095,0,1417
1,1,1,1
225105,138947,0,10
244112,482032,13805,10767
116727,135682,0,6567
530898,233703,0,19321
1429986,2302357,89089,725
1,1,1,1
1,1,1,1
0,876782,0,206908
1,1,1,1
276234,128071,0,0
1,1,1,1
56848,100784,0,0
NEW YEAR
1022698,522015,31811,1275
92065,127163,0,20486
436321,771395,22613,151722
553635,366373,0,0
11027118,8737683,483718,1333927
803725,662893,23,85648
577662,572036,10741,340222
1,1,1,1
3245565,1716505,0,220
1727293,1708396,69878,11
208266,97928,7547,49921
208036,270468,0,0
2631229,2126833,34527,146969
900148,1267972,35733,7573
351561,899761,0,41172
349525,706246,25253,45423
836888,476604,17366,0
1,0,0,0
1,1,1,1
1307610,533688,0,0
1,1,1,1
